,EMPRESAS,CATALOGO_EMPRESAS,TIPO_DOCUMENTO
3915,,FEDERACION ECUATORIANA DEL NOROCCIDENTE DE PICHINCHA PARA EL DESARROLLO COMUNITARIO FENPIDEC,
3916,,FEDERACION HOTELERA DEL ECUADOR,
3917,,FEDERACION INTERPROVINCIAL DE CENTRO SHUAR FICHS,
3918,,FEDERACION INTERPROVINCIAL DE INDIGENAS SARAGUROS,
3919,,FEDERACION NACIONAL DE ASOCIACIONES JUDICIALES,
3920,,FEDERACION NACIONAL DE CIEGOS DEL ECUADOR,
3921,,FEDERACION NACIONAL DE PERIODISTAS DEL ECUADOR,
3922,,FEDERACION PLURINACIONAL DE TURISMO COMUNITARIO DEL ECUADOR,
3923,,FEDERACION PROVINCIAL DE ORGANIZACIONES CAMPESINAS DE ZAMORA CHINCHIPE,
3924,,FEDERACION PROVINCIAL DE ORGANIZACIONES DE ZAMORA CHINCHIPE,
3925,,FEDERACION REGIONAL DE ASOCIACIONES DE PEQUEÑOS CAFETALEROS ECOLOGICOS DEL SUR,
3926,,FEDES Y GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL GUADALUPE-EL PROGRESO Y EL CARMEN,
3927,,FEDES Y RETAIL,
3928,,FEDES_ SEVICIOS CORPORATIVOS SGF CIA LTDA_SEMINARIUM,
3929,,FEDES_CORPORACION DE FERIAS DE LOJA,
3930,,FEDES_GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL CUYABENO,
3931,,FEDES_GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE CALVAS,
3932,,FEDES_GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE CATAMAYO,
3933,,FEDES_GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE ZAMORA,
3934,,FEDES_GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL SOZORANGA,
3935,,FEDES_GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL DEL PARAISO CELEN,
3936,,FEDES_GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL SUMAYPAMBA,
3937,,FEDES_GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL SELVA ALEGRE,
3938,,FEDES_GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE ZAMORA,
3939,,FEDES_HANDYTECMOBI S.A.,
3940,,FEDES_KARINA SANTIL_ROBERTO PAREDES,
3941,,FEDES_MANCOMUNIDAD BOSQUE SECO,
3942,,FEDES_MINISTERIO DE TRANSPORTE Y OBRAS PUBLICAS,
3943,,FEDES_SOLGOD ECUADOR S.A.,
3944,,FEDES-JACKSON MASACHE-VILLAVICENCIO JHON,
3945,,FEDES-ORTEGA LEON NICOLE ALEXANDRA,
3946,,FEDES,
3947,,FEEZ ASESORES CONTABLES TRIBUTARIOS,
3948,,FEIJOO BLACIO GONZALO YASMANY,
3949,,FENPIDEC,
3950,,FEPNASH ZCH,
3951,,FEPP CONSTRUCCIONES AGUA Y VIVIENDA,
3952,,FERAIZBA AGENCIA DE PUBLICIDAD,
3953,,FERELI CORPORATION,
3954,,FERERACION ECUATORIANA DE TRABAJO VOLUNTARIO,
3955,,FERNANDA SABEDRA CARRANZA,
3956,,FERNANDEZ ARIAS JOSE MIGUEL,
3957,,FERNANDEZ BRACERO VICTOR,
3958,,FERNANDEZ DE CARCHI MINERVA,
3959,,FERNANDO ORTIZ,
3960,,FERNANDO PALACIOS POVEDA,
3961,,FERNANDO RIELO FUNDATION,
3962,,FERRE CONSTRUC,
3963,,FERRETERI´A BORJA1 S.A.S.,
3964,,FERRETERIA APOLO,
3965,,FERRETERIA ELECTROTECNIC,
3966,,FERRETERIA FRANCO,
3967,,FERRETERIA HAYEK INTERNACIONAL CIA. LTDA,
3968,,FERRETERIA LOPEZ,
3969,,FERRETERIA LOS VERGELES,
3970,,FERRETERIA PADILLA,
3971,,FERRETERIA PALACIOS,
3972,,FERRI COMERCIO EL CISNE,
3973,,FERRICENTER EL ARENAL CIA. LTDA.,
3974,,FERRIHOGAR,
3975,,FERRINDUSTRIA,
3976,,FERROCENTRO UNIMAX,
3977,,FERROCOMERCIALVERAEHIJOS,
3978,,FERROMAN,
3979,,FERROMEDICA,
3980,,FERRONORTECORP CIA. LTDA,
3981,,FIBRALUX,
3982,,FIBRAMAX SERVICIO DE INTERNET,
3983,,FICO - FINANCIAL CONTRABLE,
3984,,FICONT AUDITORES ASOCIADOS,
3985,,FICONT S.A,
3986,,FIDEICOMISO GUAYHOST,
3987,,FIDEICOMISO MERCANTIL HOTEL AEROPUERTO QUITO,
3988,,FIDESBURO C.LTDA.,
3989,,FIDEVAL S.A.,
3990,,FIDEVAL S.A. ADMINISTRADORA DE FONDOS Y FIDEICOMISOS,
3991,,FIDUCIARIA ECUADOR FIDUECUADOR S.A. ADMINISTRADORA DE FONDOS Y FIDEICOMISOS,
3992,,FIELQUIMEC CIA. LTDA.,
3993,,FIERRO ANDREA MARGARITA,
3994,,FIERRO BONILLA MIRIAM MARGARITA,
3995,,FIERRO JIMENEZ CONSTRUCCIONES,
3996,,FIERRO VIVANCO CRISTIAN PAUL,
3997,,FIGUEROA DIAZ ROBERTH GUSTAVO,
3998,,FIGUEROA HURTADO JORGE GEOVANNY,
3999,,FIGUEROA HURTADO JORGE GEOVANNY / SOLANO CUEVA NATALI ELIZABETH,
4000,,FIGUEROA RUIZ JUAN ELISEO,
4001,,FIGUEROA Y BUAY CONTRUCCIONES Y SERVICIOS CIA LTDA,
4002,,FILESTORAGE S.A,
4003,,FILMEJ STUDIO,
4004,,FINANCIERA FENEDIP,
4005,,FINANZAS Y GLOBALIZACION ASESORES,
4006,,FINCA CAFETERA EL AGUACATE,
4007,,FINCA LA FLORIDA,
4008,,FINCA RALE,
4009,,FINE TUNED ENGLISH,
4010,,FIORELLA ALEJANDRA INTRIAGO LAMOTA,
4011,,FIORENTINA FLOWERS S.A.,
4012,,FIRENTUR SA,
4013,,FIRMA AUDITORA WILLI BAMBERGER,
4014,,FIRMESA,
4015,,FIRMESA INDUSTRIAL CIA. LTDA.,
4016,,FIRTEKECUADOR CIA LTDA,
4017,,FISCALIA GENERAL DEL ESTADO,
4018,,FISCALIA MULTICOMPETENTE DEL CANTON CALVAS,
4019,,FISCALIA MULTICOMPETENTE DEL CANTON CELICA – PUNTO DE ATENCON PUIYANGO,
4020,,FISCALIA PROVINCIAL DE CHIMBORAZO,
4021,,FISCALIA PROVINCIAL DE COTOPAXI,
4022,,FISCALIA PROVINCIAL DE SUCUMBIOS,
4023,,FISCALIA PROVINCIAL DEL AZUAY,
4024,,FISCHLER SCHOOL OF EDUCATION AND HUMAN SERVICES,
4025,,FISE,
4026,,FISHCORP S.A,
4027,,FISIOMUSCLE SPORT,
4028,,FISUM S.A.,
4029,,FIVE STARS,
4030,,FIVE STARS CUENCA PRODUCCION Y VENTA TEXTIL.,
4031,,FLANDOLI,
4032,,FLEXMO CIA LTDA,
4033,,FLEXO,
4034,,FLOR MARIA CONCHA EGAS,
4035,,FLORALP SA,
4036,,FLORES ACARO BYRON DE JESUS,
4037,,FLORES CONSTRUCCIONES S.A.,
4038,,FLORES DEL CAMPO,
4039,,FLORES DEL VALLE S.A. VALLEFLOR,
4040,,FLORES ORTIZ WILSON ALEJANDRO,
4041,,FLORES VELEZ DIANA CAROLINA,
4042,,FLORICOLA AMERICANA ROSES ROSEMERICA SOCIEDAD ANONIMA,
4043,,FLORICOLA SAN ISIDRO LABRADOR FLORSANI S.A.S.,
4044,,FLORIZEL ¨,
4045,,FMSB SANTA BARBARA S.A.,
4046,,FODEP,
4047,,FONDO DE CESANTIA DEL MAGISTERIO ECUATORIANO,
4048,,FONDO ECUATORIANO POPULORUM PROGRESSIO-COORDINACION ESMERALDAS,
4049,,FONDO PROCUENCAS,
4050,,FONDO REGIONAL DEL AGUA,
4051,,FONDO REGIONAL DEL AGUA FORAGUA,
4052,,FOOD HOUSE CATERING,
4053,,FOODPACKING,
4054,,FOODPACKING S.A.,
4055,,FOREIGN LANGUAGES S.A.,
4056,,FORMACERO SOLUCIONES DE CALIDAD,
4057,,FORMAR CENTRO DE CAPACITACION PROFESIONAL CIA. LTDA.,
4058,,FORO INTERNACIONAL DE INNOVACION UNIVERSITARIA,
4059,,FORTEC,
4060,,FORTECC CONSTRUCTORA CL,
4061,,FORTUNEX,
4062,,FOSFORERA ECUATORIANA.SA,
4063,,FOSSLAWYERS S.A.S.,
4064,,FRACTALES,
4065,,FRACTALES CIA LTDA,
4066,,FRACTRUCKS S.A.,
4067,,FRAISSL GESTORA EMPRESARIAL FRAISSL BUSINESS,
4068,,FRANCISCO ALBERTO SANDOVAL NOREA,
4069,,FRANCISCO DANIEL HIDALGO RAMIREZ,
4070,,FRANCISCO JAVIER ALVAREZ PINEDA,
4071,,FRANCO LEON LEONOR DEL CARMEN,
4072,,FRANQUICIA TOTTO,
4073,,FREDY FABIAN CORDOVA MORA,
4074,,FREIRE GAVILANES YESSENIA MARISOL,
4075,,FREIRE PRADO MARIA BELEN,
4076,,FRENTE DE DEFENSA DE LA AMAZONIA (FDA).,
4077,,FRESH FISH DEL ECUADOR CIA LTDA,
4078,,FRIO JENNIFER SORAYA,
4079,,FRISONEX,
4080,,FRISONEX CIA. LTDA,
4081,,FRUGALP,
4082,,FUENTES VASQUEZ VERONICA LILY,
4083,,FUERTE MILITAR MIGUEL ITURRALDE,
4084,,FUERTES CEVALLOS ENRIQUE ALEJANDRO,
4085,,FUERZA AEREA ECUATORIANA,
4086,,FUERZAS ARMADAS,
4087,,FUMILIEM S.A.,
4088,,FUMITEC S.A.,
4089,,FUNCAI,
4090,,FUNCION JUDICIAL DE BOLIVAR,
4091,,FUNDACIO´N COMPASIO´N MINISTERIO VIDAS EN ACCIO´N,
4092,,FUNDACION 22 DE AGOSTO,
4093,,FUNDACION A.M.A.R AYUDA MULTIPLE PARA ADOLESCENTES Y ADULTOS RETARDADOS,
4094,,FUNDACION ACCION ANIMAL ECUADOR,
4095,,FUNDACION ACCION INTEGRAL COMUNITARIA AIC,
4096,,FUNDACION ACCION SOCIAL CARITAS,
4097,,FUNDACION ACTIVO 20-30 DE GUAYAQUIL,
4098,,FUNDACION AGENCIA DE DESARROLLO EMPRESARIAL DE LOJA,
4099,,FUNDACION ALAS DE COLIBRI,
4100,,FUNDACION ALBERGUE LA DOLOROSA,
4101,,FUNDACION ALINAMBI,
4102,,FUNDACION ALTROPICO,
4103,,FUNDACION ALVAREZ,
4104,,FUNDACION ALVAREZ HOGAR DE ANCIANOS DANIEL ALVAREZ SANCHEZ,
4105,,FUNDACION AMIGOS DEL ECUADOR,
4106,,FUNDACION ANDINA PARA LA OBSERVACION Y ESTUDIO DE MEDIOS_FUNDAMEDIOS,
4107,,FUNDACION APOYO SOLIDARIO A LA FAMILIA ASOF,
4108,,FUNDACION ARCOIRIS,
4109,,FUNDACION ARTURO YUMBAY,
4110,,FUNDACION ASYLUM ACCESS ECUADOR,
4111,,FUNDACION BOTANICA DE LOS ANDES,
4112,,FUNDACION CAJE,
4113,,FUNDACION CALDERON TU PASION,
4114,,FUNDACION CAMINANDO AL PROGRESO,
4115,,FUNDACION CAMINO A CASA,
4116,,FUNDACION CAMINO ESPERANZA FE Y AMOR,
4117,,FUNDACION CAMINOS DE ALIANZA,
4118,,FUNDACIÒN CAMINOS DE ESPERANZA TALIKA KUMI,
4119,,FUNDACION CAMINOS DE ESPERANZA TALITA-KUMI,
4120,,FUNDACION CARITA DE ANGEL,
4121,,FUNDACION CARITAS DE ESPERANZA,
4122,,FUNDACION CAROLINA,
4123,,FUNDACION CASA CAMPESINA JUAN PABLO II,
4124,,FUNDACION CASA CULTUAL SOMOS ARTE,
4125,,FUNDACION CASA DE LA CARIDAD,
4126,,FUNDACION CASA DE LA FAMILIA,
4127,,FUNDACION CASA DE MIS SUEÑOS,
4128,,FUNDACION CASA HOGAR DE BELEN,
4129,,FUNDACION CASA VICTORIA,
4130,,FUNDACION CENTRO DE APOYO ECUATORIANO - CAJE,
4131,,FUNDACION CENTRO DE ESTUDIOS INTERAMERICANOS CEDEI,
4132,,FUNDACION CENTRO DE INVESTIGACIONES INTERCULTURALES Y DESARROLLO ECOLOGICO CULTURAL GUANCHURO,
4133,,FUNDACION CENTRO INTEGRAL DE LA FAMILIA,
4134,,FUNDACION CENTRO OBRAS CON AMOR - FOCA,
4135,,FUNDACION CENTRO SAN JUAN DE JERUSALEN,
4136,,FUNDACION CEREVEC,
4137,,FUNDACION CHANKUAP RECURSOS PARA EL FUTURO,
4138,,FUNDACION CHARLES DARWIN,
4139,,FUNDACION CHILDREN OF THE ANDES HUMANITARIAN,
4140,,FUNDACION CIELO ANIMAL,
4141,,FUNDACION CIRCULAR,
4142,,FUNDACION CLEMENCIA & ASILO SOFIA RATINOFF,
4143,,FUNDACION CLEMENCIA AL CUIDADO DE LOS ANCIANOS,
4144,,FUNDACION CLUB DE LEONES DE RIOBAMBA,
4145,,FUNDACION COLEGIO AMERICANO DE QUITO,
4146,,FUNDACION CONDORHUANA,
4147,,FUNDACION CONSORCIO ECUATORIANO PARA EL DESARROLLO DE INTERNET AVANZADO CEDIA,
4148,,FUNDACION CONSTRUYAMOS UN SUEÑO,
4149,,FUNDACION CREA TU ESPACIO,
4150,,FUNDACION CREANDO UN NUEVO CAMINO,
4151,,FUNDACION CRISFE,
4152,,FUNDACION CRUZADA NUEVA HUMANIDAD,
4153,,FUNDACION CULTURAL CORDERO DE LA CIUDAD DE CUENCA,
4154,,FUNDACION DAAR,
4155,,FUNDACION DE ACCION SOCIAL E INTEGRAL REFUGIO DEL ESPIRITU SANTO,
4156,,FUNDACION DE ACCION SOCIAL PADRE LUIS CLEMENTE DE LA VEGA,
4157,,FUNDACION DE APOYO AL DESARROLLO SUSTENTABLE DEL ECUADOR-FADSE,
4158,,FUNDACION DE APOYO COMUNITARIO Y SOCIAL DEL ECUADOR FACES,
4159,,FUNDACION DE APOYO Y DESARROLLO SOCIAL DIOS ES AMOR,
4160,,FUNDACION DE ASISTENCIA EDUCATIVA SOCIAL AEREA,
4161,,FUNDACION DE ATENCION SOCIAL SEMBRANDO SONRISAS,
4162,,FUNDACION DE AYUDA A LA EDUCACION MEDIA,
4163,,FUNDACION DE AYUDA SOCIAL EL ABRAZO DEL PADRE,
4164,,FUNDACION DE CANRIÑO,
4165,,FUNDACION DE CAPACITACION Y FORMACION MICROEMPRESARIAL PARA PERSONAS CON DISCAPACIDAD (FUCFORMID),
4166,,FUNDACION DE CONSERVACION JOCOTOCO,
4167,,FUNDACION DE DESARROLLO COMUNITARIO SIN FRONTERAS,
4168,,FUNDACION DE DESARROLLO FRATERNIDAD INTERNACIONAL DE JOVENES IYF ECUADOR,
4169,,FUNDACION DE DESARROLLO HUMANO Y SOCIAL LATACUNGA,
4170,,FUNDACION DE DESARROLLO SOCIAL Y CULTURAL AFROECUATORIANA AZUCAR,
4171,,FUNDACION DE DESARROLLO SOCIAL Y TECNOLOGICO,
4172,,FUNDACION DE INTERVENCION Y TERAPIA FAMILIAR SISTEMICA-ITFAS,
4173,,FUNDACION DE LA AMERICAS,
4174,,FUNDACION DE LAS AMERICAS,
4175,,FUNDACION DE LAS AMERICAS PARA EL DESARROLLO PARTNERS OF THE AMERICAS,
4176,,FUNDACION DE NIOS ESPECIALES AYUDANOS A VIVIR,
4177,,FUNDACION DE PROTECCION ANIMAL,
4178,,FUNDACION DE PROTECCION PARAISO HUELLAS RESCATE ANIMAL,
4179,,FUNDACION DE PROTECCION Y RESCATE ANIMAL AMIGOS FIELES,
4180,,FUNDACION DE RESCATE ANIMAL CALLEJERITOS S.O.S,
4181,,FUNDACION DEL DESARROLLO INTEGRAL COMUNITARIO MAS VIDA,
4182,,FUNDACION DESARROLLO SOCIAL Y TECNOLOGICO,
4183,,FUNDACION DESPIERTATE,
4184,,FUNDACION DIAGNOSTICO REHABILITACION E INTEGRACION DEL NIÑO ESPECIAL - FUDRINE,
4185,,FUNDACION DIGNIDAD Y VIDA (FUNDYVIDA),
4186,,FUNDACION DIVINA ESPERANZA,
4187,,FUNDACION DON BOSCO LOJA,
4188,,FUNDACION DON JORGE,
4189,,FUNDACION DONUM,
4190,,FUNDACION DOROTEA CARRION DE LAS HERMANAS DOMINICAS DE LA ENSEÑANZA DE LA INMACULADA CONCEPCION,
4191,,FUNDACION EC UATORIANA SANTA MARIA DEL FIAT,
4192,,FUNDACION ECOLOGICA ARCOIRIS,
4193,,FUNDACION ECOLOGICA JASDUC,
4194,,FUNDACION ECOLOGICA RIKCHARINA,
4195,,FUNDACION ECOSUR,
4196,,FUNDACION ECUADOR,
4197,,FUNDACION ECUATORIANA DE PATROCINIO LEGAL FEPAL,
4198,,FUNDACION ECUATORIANA JOVENES Y JUSTICIA PROTECCION SOCIAL,
4199,,FUNDACION ECUATORIANA SIERVOS DE YAHVE,
4200,,FUNDACION EDUCATIVA DE PROMOCION SOCIAL SABIA NUEVA,
4201,,FUNDACION EDUCATIVA EL VALLE,
4202,,FUNDACION EDUCATIVA INTEGRAL FARMACEUTICA ECUATORIANA,
4203,,FUNDACION EHAS,
4204,,FUNDACION EL ARENAL,
4205,,FUNDACION EL TRIANGULO,
4206,,FUNDACION EL UNIVERSO,
4207,,FUNDACION ENTREGA,
4208,,FUNDACION ERDELY-FICA,
4209,,FUNDACION ESCUELA DE ORGANIZACION INDUSTRIAL EOI,
4210,,FUNDACION ESPERANZA,
4211,,FUNDACION ESQUEL,
4212,,FUNDACION ESTEBAN QUIROLA FIGUEROA,
4213,,FUNDACION FAESA,
4214,,FUNDACION FAMILIA INTEGRAL,
4215,,FUNDACION FERNANDO RIELO,
4216,,FUNDACION FONDO DE CULTURA ECONOMICA ECUADOR,
4217,,FUNDACION FUERZA FLOPPY.ORG,
4218,,FUNDACION FUTURO LATINOAMERICANO,
4219,,FUNDACION GEKOFUND GKF,
4220,,FUNDACION GENERAL ECUATORIANA,
4221,,FUNDACION GUAMBRAS ECUATORIANOS SOLIDARIOS GES,
4222,,FUNDACION HACIENDO ECUADOR,
4223,,FUNDACION HEIFER ECUADOR,
4224,,FUNDACION HOGAR DEL ECUADOR,
4225,,FUNDACION HOGAR PARA SUS NIÑOS,
4226,,FUNDACION HOGAR PARA TODOS,
4227,,FUNDACION HOLCIM - CONSTRUMERCADO S.A,
4228,,FUNDACION HOMBRO A HOMBRO,
4229,,FUNDACION HONRAR LA VIDA,
4230,,FUNDACION HORIZONTES - IRSE,
4231,,FUNDACION HUANCAVILCA,
4232,,FUNDACION HUERTO DE LOS OLIVOS,
4233,,FUNDACION HUIRACOCHA TUTIVEN,
4234,,FUNDACION IDEA DIGNIDAD,
4235,,FUNDACION IDENTE DE ESTUDIOS E INVESTIGACION,
4236,,FUNDACION IN NOVA CASTILLA LA MANCHA,
4237,,FUNDACION INKA LINK ECUADOR,
4238,,FUNDACION INTERCULTURAL OUTREACH INITIATIVE INC,
4239,,FUNDACION INTERNACIONAL PARA GOBIERNOS CONFIABLES,
4240,,FUNDACION INTERNACIONAL PARA LA PROMOCION DEL DESARROLLO SUSTENTABLE FUTURO LATINOAMERICANO,
4241,,FUNDACION IS+D,
4242,,FUNDACION ISABELA NIÑAS FELICES FINF,
4243,,FUNDACION ISHPINGO,
4244,,FUNDACION ITS ABOUT KIDS,
4245,,FUNDACION JARDIN DEL EDEN,
4246,,FUNDACION JATUN KAWSAY,
4247,,FUNDACION JESUS RESUCITADO,
4248,,FUNDACION JONATHAN SERVICIO MEDICO Y SOCIAL PARA NIÑOS Y ANCIANOS,
4249,,FUNDACION JUNTO CON LOS NIOS,
4250,,FUNDACION LA ARCADIA ESCUELA MATILDE HIDALGO DE PROCEL,
4251,,FUNDACION LA CASA DE LA MISERICORDIA,
4252,,FUNDACION LATINOAMERICANA ANDRES BELLO,
4253,,FUNDACION LETRA PARA TODOS,
4254,,FUNDACION LICEO INTERNACIONAL,
4255,,FUNDACION LITTLE SMILE,
4256,,FUNDACION LLUVIA DEL CIELO,
4257,,FUNDACION LORENTEANA/ RADIO LUZ Y VIDA,
4258,,FUNDACION LOS FRESNOS,
4259,,FUNDACION LUDIPRAC PARA EL AUTISMO,
4260,,FUNDACION LUNDIN Y FEDERACION DE PEQUENOS EXPORTADORES AGROPECUARIOS ORGANICOS DEL SUR DE LA AMAZONIA ECUATORIANA APEOSAE,
4261,,FUNDACION MADRE SOLIDARIA,
4262,,FUNDACION MANOS QUE DAN LUZ MANDALUZ,
4263,,FUNDACION MAQUITA,
4264,,FUNDACION MAQUITA CUSHUNCHIC COMERCIALIZANDO COMO HERMANOS MCCH,
4265,,FUNDACION MARIA AMOR,
4266,,FUNDACION MARIANA DE JESUS,
4267,,FUNDACION MAS QUE VENCEDORES,
4268,,FUNDACION MEGA FAUNA MARINA DEL ECUADOR,
4269,,FUNDACION MINGA BANCO DE ALIMENTOS DE LOJA,
4270,,FUNDACION MUNDO SIN BARRERAS,
4271,,FUNDACION MUNDOS E,
4272,,FUNDACION MUNICIPAL TURISMO PARA CUENCA,
4273,,FUNDACION MUSEOS DE LA CIUDAD,
4274,,FUNDACION NEW HEALTH,
4275,,FUNDACION NIEZ INTERNACIONAL - CHILDREN INTERNATIONAL,
4276,,FUNDACION NIÑEZ INTERNACIONAL CHILDREN INTERNATIONAL ECUADOR,
4277,,FUNDACION NIÑEZ INTERNACIONAL CHILDREN INTERNATIONAL ECUADOR - CENTRO COMUNITARIO ATUCUCHO,
4278,,FUNDACION NIÑEZ INTERNACIONAL CHILDREN INTERNATIONAL ECUADOR - CENTRO COMUNITARIO LA ROLDOS,
4279,,FUNDACION NIÑOS CON DESTINO EN LAS MANOS DE DIOS,
4280,,FUNDACION NUESTROS JOVENES,
4281,,FUNDACION ODR ECUADOR,
4282,,FUNDACION PADRE MATIAS MUJICA,
4283,,FUNDACION PADRE NELLO STORINI,
4284,,FUNDACION PARA EL AVANCE DE LAS REFORMAS Y LAS OPORTUNIDADES_GRUPO FARO,
4285,,FUNDACION PARA EL AVANCE DE LAS REFORMAS Y OPORTUNIDADES- GRUPO FARO,
4286,,FUNDACION PARA EL CAMBIO DEMOCRATICO,
4287,,FUNDACION PARA EL DESARROLLO EMPRESARIAL,
4288,,FUNDACION PARA EL DESARROLLO EMPRESARIAL Y SOCIAL FEDES,
4289,,FUNDACION PARA EL DESARROLLO INTEGRAL DE LA POBLACION VULNERABLE,
4290,,FUNDACION PARA EL DESARROLLO INTEGRAL DE LA POBLACION VULNERABLE FUNDIPOV,
4291,,FUNDACION PARA EL DESARROLLO INTEGRAL DE PERSONAS CON DISCAPACIDAD COLOR ESPERANZA,
4292,,FUNDACION PARA EL DESARROLLO INTEGRAL ESPOIR,
4293,,FUNDACION PARA EL DESARROLLO Y BIENESTAR DEL POLICIA,
4294,,FUNDACION PARA EL DESARROLLO Y BIENESTAR DEL POLICIA Y SU FAMILIA,
4295,,FUNDACION PARA EL ESTUDIO Y CONSERVACION DE LOS MAMIFEROS DEL ECUAOR,
4296,,FUNDACION PARA ESTUDIOS ECOLOGICOS ECOCIENCIA,
4297,,FUNDACION PARA LA CIENCIA Y LA TECNOLOGIA,
4298,,FUNDACION PARA LA INTEGRACION DEL NIÑO ESPECIAL FINE,
4299,,FUNDACION PARA SERVIR EN CRISTO,
4300,,FUNDACION PASOS DE VIDA,
4301,,FUNDACION PERSONAS UNIDAS POR EL BIENESTAR ANIMAL PUBA,
4302,,FUNDACION PRIVADA COMPARTE BARCELONA ESPAA,
4303,,FUNDACION PRO-BOSQUE,
4304,,FUNDACION PROCODIS PROMOTORA DE COMUNICADORES CON DISCAPACIDAD VISUAL,
4305,,FUNDACION PROYECTO DON BOSCO,
4306,,FUNDACION PROYECTO ECOLOGICO CHIRIBOGA,
4307,,FUNDACION PROYECTO SALESIANO CHICOS DE LA CALLE NORTE (LA CALETA,
4308,,FUNDACION PROYECTO SINSOLUKA NIÑEZ Y JUVENTUD MARGINAL,
4309,,FUNDACION PUEBLITO LA TERNURA,
4310,,FUNDACION RAICES Y SUEÑOS DE SAN ISIDRO,
4311,,FUNDACION SALGADO SILVA - FUNSASIL,
4312,,FUNDACION SALUD AMAZONICA,
4313,,FUNDACION SALUD UN NUEVO COMIENZO,
4314,,FUNDACION SALVA UNA VIDA,
4315,,FUNDACION SAN ANIAN,
4316,,FUNDACION SANTA ANA DE LOS RIOS DE CUENCA,
4317,,FUNDACION SANTA MARIA DE LA ESPERANZA HOGAR GERIATRICO EL NIDO,
4318,,FUNDACION SEMBRAR ESPERANZA SEMBRES,
4319,,FUNDACION SOCIEDAD FORJANDO ESPERANZA SOFE,
4320,,FUNDACION SUIZA DE COOPERACION PARA EL DESARROLLO TECNICO-SWISSCONTACT,
4321,,FUNDACION SUMATE POR LA EQUIDAD,
4322,,FUNDACION SUYAY AN,
4323,,FUNDACION TAPORI PALADINES DE FELICIDAD,
4324,,FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO,
4325,,FUNDACION TELEFONICA,
4326,,FUNDACION TERMINAL TERRESTRE DE GUAYAQUIL,
4327,,FUNDACION TERNURA Y AMOR,
4328,,FUNDACION TIERRA NUEVA,
4329,,FUNDACION UNIVERSIDAD DEL NORTE,
4330,,FUNDACION UNIVERSIDAD FEDERAL DE MATO GROSSO,
4331,,FUNDACION UNIVERSIDAD FRANCISCO DE VITORIA,
4332,,FUNDACION UNIVERSITARIA CATOLICA DEL NORTE,
4333,,FUNDACION UNIVERSITARIA DEL AREA ANDINA,
4334,,FUNDACION VIDA UNIDOS POR EL CANCER,
4335,,FUNDACION VILCABAMBA HOGAR DE ANCIANOS,
4336,,FUNDACION VIRGEN DE LA MERCED,
4337,,FUNDACION VISION MUNDIAL ECUADOR,
4338,,FUNDACION VISION MUNDIAL ECUADOR / ENTREGAS ESPECIALES ESPENTREGAS S.A.,
4339,,FUNDACION VIVIAN LUZURIAGA VASQUEZ FUNVILUZ,
4340,,FUNDACION WIÑARINA,
4341,,FUNDACYT,
4342,,FUNDALUM,
4343,,FUNDETEL ETSIT-UPM,
4344,,FUNERARIA CANDO,
4345,,FUNERARIA JARAMILLO,
4346,,FUSSION INFORMATICA,
4347,,FUTURE ARQUITECTURAS,
4348,,FYMP SOLUCIONES DE INGENIERIA S.A.,
4349,,G DOS G MADERAS Y SERVICIOS CIA. LTDA,
4350,,G&H CONSTRUC S.A,
4351,,G4S SECURE SOLUTIONS (ECUADOR) CIA. LTDA.,
4352,,GABRIELA ELIZABETH ARMIJOS HERRERA,
4353,,GABRIELA MISHELL YANDUN TULCANAZA,
4354,,GAIBOR VASCONEZ MAURICIO RODRIGO,
4355,,GAJARDO VALDES ANGELINA,
4356,,GALAPAGOS YACHTS UNLIMITED GALAYACHTS S.A.,
4357,,GALARZA AGUIRRE BORIS ANTONIO,
4358,,GALARZA VIERA JOSE LUIS,
4359,,GALERIA DE ARTE PISCIS,
4360,,GALEXPER CIA. LTDA.,
4361,,GALLEGOS ROJAS RITA XIMENA,
4362,,GALLO CARRION CARLOS XAVIER,
4363,,GALO FERNANDO NOBLECILLA GARCIA,
4364,,GALO STALIN BLACIO AGUIRRE,
4365,,GALO VINICIO PALTIN SARAGURO,
4366,,GALVANICA CIA LTDA,
4367,,GAMBIRASI S.A.,
4368,,GAONA SALINAS ELSI VIVIANA,
4369,,GARABATOS,
4370,,GARCES CHIRIBOGA LOURDES MARITZA,
4371,,GARCIA & GARCIA CONTADORES AUTORIZADOS CONTABILIDAD- TRIBUTACION,
4372,,GARCIA CARBO ANGEL XAVIER,
4373,,GARCIA TORRES CARLOS EDUARDO,
4374,,GARCIA ZAMBRANO ZAIDA GABRIELA,
4375,,GARY ISMAEL GRANJA RUIZ (PRO IMAGEN),
